cluster,latitude,longitude,urban_rural,state,wealth_index
152.0,11.7303080025,11.9612321874,U,Yobe,0.7040085714285713
153.0,11.7618662892,11.9715069416,U,Yobe,0.08855310344827588
154.0,11.2801563311,11.9958205343,U,Yobe,-0.0024100000000000007
155.0,11.1042554426,11.3691626812,U,Yobe,-0.8167083333333333
156.0,11.7081537261,11.0751390204,U,Yobe,-0.19439299999999998
157.0,11.7231081261,11.0891717152,U,Yobe,-0.14708066666666667
158.0,11.7017767912,11.0754250165,U,Yobe,-0.796306551724138
159.0,13.0091745498,10.2365199594,R,Yobe,-0.8025103333333334
160.0,13.0295366012,10.4519059441,R,Yobe,-1.4537743333333333
161.0,13.2662200711,10.8534981417,R,Yobe,-1.5548816666666667
162.0,13.2976447567,11.5889454948,R,Yobe,-1.5616133333333333
163.0,13.0911963348,11.777323343,R,Yobe,-0.4667407142857143
164.0,12.8405444679,11.7800545403,R,Yobe,-0.7999993333333334
165.0,12.8196936694,11.5851583872,R,Yobe,-0.843249
166.0,12.4325455439,11.2839591417,R,Yobe,-1.4638576666666667
167.0,12.9334158222,10.8405526823,R,Yobe,-1.4187506896551723
168.0,12.8539882629,10.9564344619,R,Yobe,-1.1049093333333333
169.0,12.4493448251,10.8636783627,R,Yobe,-0.8856610344827586
170.0,12.0586565497,10.8296928909,R,Yobe,-1.4737823333333333
171.0,11.9403750717,11.1528944291,R,Yobe,-1.714993
172.0,11.5726602968,11.3010463691,R,Yobe,-1.3705723333333333
173.0,12.1018366048,11.7728308626,R,Yobe,-1.0459603333333334
174.0,11.751382133,12.1707122733,R,Yobe,-0.998443
175.0,11.5652286596,11.8788257899,R,Yobe,-0.6331693103448276
176.0,10.9111741171,11.6679608639,R,Yobe,-1.4391646666666666
177.0,10.6419695977,11.5560705831,R,Yobe,-1.3767073333333333
178.0,11.3867470096,11.2705056755,R,Yobe,-1.2684706666666665
179.0,11.7641330491,11.1582360173,R,Yobe,-1.1610543333333332
180.0,11.8959065339,10.8559338119,R,Yobe,-1.2349933333333332
181.0,13.1092339162,13.826056804,U,Borno,-1.2126093333333332
182.0,12.4927332782,12.7701825575,U,Borno,-1.2159063333333333
183.0,11.7573239204,12.2561310093,U,Borno,-1.0598613793103449
184.0,11.8473444259,13.0450544589,U,Borno,-0.026744999999999998
185.0,11.6491079476,13.4007302446,U,Borno,-1.1948323333333335
186.0,11.849697882,13.1485922604,U,Borno,-0.36524033333333333
187.0,11.8759341203,13.1384197385,U,Borno,-0.200128
188.0,11.8624832688,13.1369756596,U,Borno,-0.45502333333333334
189.0,11.8114395828,13.111890779,U,Borno,-0.46629249999999994
190.0,11.7852317332,13.114875931,U,Borno,0.22415884615384615
191.0,11.841598113,13.1674926366,U,Borno,-0.37088464285714284
192.0,11.8876898018,13.2456603789,U,Borno,-1.4557016666666667
193.0,11.8612759198,13.1691897188,U,Borno,-0.306355
194.0,11.8072900824,13.1932588463,U,Borno,1.2519248275862067
195.0,11.799347815,13.0834569229,U,Borno,-0.244391
196.0,12.4741107599,13.2135796304,U,Borno,-1.470417
197.0,12.6895825254,13.6007821593,U,Borno,-1.5611266666666666
198.0,12.6569903871,13.6114532373,U,Borno,-1.3968226666666665
199.0,11.8758411551,13.2726699303,U,Borno,-1.3919153333333334
200.0,12.0223240586,13.9154467961,U,Borno,-1.15158
203.0,11.515550986,13.7049586745,U,Borno,-0.9735069230769231
204.0,11.2158405111,13.7966859229,U,Borno,-1.0984393333333335
205.0,11.1606379918,12.7561889267,U,Borno,-0.879427
206.0,10.604233032,13.0120231039,U,Borno,-0.96716
207.0,10.5037690393,13.1292545621,U,Borno,-0.7246608695652175
208.0,10.6411357551,12.1821812716,U,Borno,-0.7211413333333334
209.0,10.2330484411,12.0412556166,U,Borno,-0.10635916666666667
210.0,11.7818419106,12.326396415,R,Borno,-0.8952833333333333
212.0,10.5013746627,13.1047670026,R,Borno,-0.7848310344827587
213.0,10.906698816,12.0947092386,R,Borno,-0.9237603846153846
214.0,10.5582526783,11.9206919217,R,Borno,-0.8768466666666667
215.0,10.3416320569,11.5639810867,R,Borno,-1.2400866666666666
216.0,10.222911209,11.9619564322,R,Borno,-1.2133430769230769
217.0,10.4547870186,12.3202332415,R,Borno,-1.2558909999999999
218.0,10.5395230551,12.3067707802,R,Borno,-0.30361464285714285
219.0,10.2597424196,13.264450637,U,Adamawa,-0.37035782608695655
220.0,10.1740897474,12.7295472836,U,Adamawa,-0.7070053333333333
221.0,9.90309874239,11.9212364279,U,Adamawa,-0.5447876666666667
222.0,9.28540027526,12.2265341679,U,Adamawa,-0.8333736666666667
223.0,9.2186438193,12.4405888485,U,Adamawa,0.07491566666666667
224.0,9.30561158768,12.4878042425,U,Adamawa,0.3389922222222222
225.0,8.42525741046,12.0457039165,U,Adamawa,-0.31117433333333333
226.0,10.7357016303,13.5304127992,R,Adamawa,-1.2125164285714285
227.0,10.6054669829,13.4883227057,R,Adamawa,-0.9879772
228.0,10.5991443787,13.4322241245,R,Adamawa,-0.9747238095238095
229.0,10.2889943127,13.2368315962,R,Adamawa,-0.32993357142857144
230.0,10.1099960205,13.2044753896,R,Adamawa,-0.8452538461538462
231.0,10.5756784206,12.7925091297,R,Adamawa,-1.408974347826087
232.0,10.2729542678,12.9405163371,R,Adamawa,-0.3088777777777778
233.0,10.3910842911,12.5585310042,R,Adamawa,-0.4316433333333334
